"n"	"lambda"	"maxfitness"	"alpha"	"Q"	"m"
"1"	2	0.0839720968157053	3.25021998842644	0.840253567555919	4.04744987864979	2
"2"	1	0.280490253897045	5.36657333635545	3.00226444534492	4.0338539556833	1
"3"	1	0.474053435374923	1.38575108362902	7.89142844292801	4.73151821875945	1
"4"	3	0.138316174317151	3.78912416458643	6.93931763940491	4.35096174129285	3
"5"	1	0.40852372048605	1.32823598469877	5.30882902990561	2.85690391878597	1
"6"	7	0.0788621382089105	0.619283692828773	7.27186010661535	4.8751385086216	7
"7"	10	0.384647078050261	2.16290052064501	6.01143518779427	3.2619625616353	10
"8"	4	0.232582424758914	0.610651473071833	3.96671186995227	4.91847911395598	4
"9"	8	0.0241256421461841	4.50360990206628	4.98960365082603	4.5115631588269	8
"10"	2	0.0909789918921888	2.36774651648189	6.07249338754918	5.85885987943038	2
"11"	2	0.325564176944976	6.73021423430249	2.23352848999202	4.40068069461267	2
"12"	1	0.245039154767039	0.828572653135686	6.53227735848632	2.73753546364605	1
"13"	1	0.109731867164373	0.325305117453829	6.25448299043346	5.28669487789739	1
"14"	3	0.568915766491088	8.32631954766586	8.95605147564784	1.91602793824859	3
"15"	1	0.150500653771509	2.54149611601626	8.68545948043466	2.63432917033788	1
"16"	5	0.30196037328053	2.03642895719825	2.66142591780517	2.1578989631962	5
"17"	1	0.071728676509261	3.18056636694649	8.67160261115059	4.75545928638894	1
"18"	1	0.389758343605285	3.34156835190371	2.5276864817366	5.69810902851168	1
"19"	9	0.355169042689706	0.0141985715368728	5.05960140889511	1.51210400590207	9
"20"	4	0.0582492469809949	2.22889878900834	3.60920354016125	4.84962212527171	4
"21"	10	0.192161761029604	1.41369866129325	8.28680579424836	5.47160424338654	10
"22"	1	0.0750308922309246	0.451954159924112	6.7325914361747	1.53978889889549	1
"23"	1	0.112408724989343	0.210381556521078	5.10537827641237	0.651409126468934	1
"24"	2	0.706085274699044	0.68816810541499	4.8954471986508	5.68977966776583	2
"25"	9	0.647444714572201	0.840926069467206	1.65524869121145	1.92548185843043	9
"26"	4	0.267355516008069	1.04718030023291	8.04486279622652	2.62048295640852	4
"27"	5	0.648226271536122	1.37809207318101	4.06021110233851	1.79703116044402	5
"28"	4	0.15817121489996	0.0376618885128023	4.10132840659935	0.67165133333765	4
"29"	2	0.46496857141418	0.108646549922594	3.04356607079972	3.09859399299603	2
"30"	6	0.161646421392486	0.549606121352909	6.7582894755993	0.98116439988371	6
"31"	14	0.0783870516344905	0.128410763406654	4.2632298944518	1.4759029338602	14
"32"	6	0.45191246976418	2.42160381424539	8.87000224706717	0.628705091890879	6
"33"	2	0.0168173770420253	0.0242222080121853	2.32415213196073	3.01761235599406	2
"34"	9	0.887828496793165	0.0822251504396439	4.90784242495429	1.47092368127778	9
"35"	8	0.082618809863925	3.53006982985341	0.790019310382195	2.46340800437611	8
"36"	4	0.105271133687347	1.05600093456431	6.67675970634446	3.85366587608587	4
"37"	2	0.370070800913458	3.62105836550122	1.94600038395729	4.05860974790994	2
"38"	1	0.638639329340229	1.92765956143271	1.65888919671997	1.42240879533347	1
"39"	1	0.203741138792577	0.705583700039193	2.23880977106746	2.04110447131097	1
"40"	2	0.470163532693811	1.64951640402339	5.37153876277152	1.52892819221597	2
"41"	3	0.581612297882314	1.43809854442068	9.07807988550048	4.67000278457999	3
"42"	5	0.317905884219294	3.48913682315819	9.69084262878168	1.11745145509485	5
"43"	4	0.151911117028715	1.52878776125582	3.93251892505214	4.11960252700374	4
"44"	1	0.523483405609555	0.637244125730385	8.28204739389475	5.29454789916053	1
"45"	1	0.338615606335883	2.76888029067912	2.00853640795685	2.85146349761635	1
"46"	5	0.224233040205183	2.73602410174483	8.49979091733694	3.53119970508851	5
"47"	11	0.0085040076635778	2.164825207117	9.33341239779256	4.00557923922315	11
"48"	2	0.0176594590768218	0.283109865950297	7.24111029959749	0.617946321028285	2
"49"	2	0.138393488526344	1.16591318838168	4.13164252731949	5.50466025574133	2
"50"	6	0.224999353467467	0.838707488294749	7.09149427975062	3.16946932929568	6
"51"	2	0.391264404712205	2.61163569102671	9.80144386682659	4.8402181728743	2
"52"	5	0.0678481217149767	2.08237137132569	8.59232495345641	5.8253341865493	5
"53"	8	0.0796060659922659	1.08205607546389	8.14646179315168	1.62426071264781	8
"54"	1	0.0578415683470666	0.621342175120537	9.71572695116047	2.88038484740537	1
"55"	15	0.0730043607170886	1.92367411437736	3.45365438784938	2.0966209579492	15
"56"	15	0.137201690301299	1.08706230352724	0.498685889667831	1.86115974199492	15
"57"	8	0.375468610210304	3.79381495744813	8.34277805443853	3.57122500811238	8
"58"	3	0.0997042523697019	0.159866699913543	7.8209771069698	4.95786644669715	3
"59"	4	0.0551023547537625	2.11321629391164	0.847960433945991	1.24585658404976	4
"60"	1	0.275537282778862	0.118411162974203	5.58760587268043	3.92172871506773	1
"61"	1	0.170984327970984	0.508154973477942	8.36356884201523	1.1189213556936	1
"62"	6	0.391931977478747	1.11057939940006	4.6344038664829	4.73165131593123	6
"63"	2	0.0441785739734769	4.37391471955544	7.00859590978362	4.92298389412463	2
"64"	11	0.00982040213420987	2.61910859776994	6.0011262150947	0.662359890411608	11
"65"	2	0.026545664707078	1.0799538815452	6.74543759650551	4.16848308313638	2
"66"	4	0.0566220588982105	1.77805928681532	2.89706910024397	1.48885269986931	4
"67"	2	0.170830310872736	2.51157964482111	1.96148291938007	1.72766436461825	2
"68"	4	0.194066283057834	2.10892394527666	3.98913297520485	1.31060870899819	4
"69"	6	0.0533346928699711	0.114418273851937	5.97424048932735	0.93941977864597	6
"70"	1	0.510090365608163	0.313398757843389	8.14074574778788	5.68143766268622	1
"71"	1	0.278491221088811	0.331280668653857	3.17537262029946	4.34358282876201	1
"72"	7	0.717242888429016	2.46058618880231	2.20967887646984	3.02181387064047	7
"73"	4	0.39129406584609	1.65653604973992	9.43158722487278	5.09078000928275	4
"74"	12	0.348079968972092	1.07884830395772	0.642783171846531	3.05552814772818	12
"75"	2	0.177576055741849	4.8037005512521	4.92746966900304	3.04730716918129	2
"76"	2	0.0406388039700687	1.53780668386981	4.01462549644057	0.782931425608695	2
"77"	3	0.045205014012754	0.97462638129308	0.936711011617444	1.42866868304554	3
"78"	12	0.390507087839727	3.24839458244754	8.61642202506773	4.83467700425535	12
"79"	2	0.811799673321557	2.14091361731636	7.41026150316466	3.80371127894614	2
"80"	13	0.00368101571303089	1.87903221621318	4.38756820280105	3.38453288120218	13
"81"	9	0.279943230338938	1.01594227920115	1.81153517209459	1.53125328593887	9
"82"	3	0.220907363100889	1.72220563777009	9.44796354002319	1.52799467951991	3
"83"	3	0.140036217114868	4.3828469322112	1.40869292651769	0.749056643340737	3
"84"	1	0.511115990181394	0.338480392429956	9.53754713009112	2.08325681916904	1
"85"	3	0.0286915024742484	3.16841267236326	6.156733202748	1.41640011162963	3
"86"	1	0.331469403781573	1.730945213604	1.64667175225914	5.10641416709404	1
"87"	5	0.0188651645372637	5.50804452068186	4.94737391693052	3.7993700299412	5
"88"	8	0.296642407013063	2.85005901655265	6.4520331376465	4.44036224181764	8
"89"	6	0.13605575747788	0.0198133083318593	3.97203936905135	5.97264538612217	6
"90"	5	0.133302458841354	2.13798043628565	7.54087142744102	3.84616040752735	5
"91"	7	0.422899488226501	2.79641432541214	4.54704423903022	5.40142846759409	7
"92"	1	0.0959669834934175	2.3543640085265	8.94620668163989	3.04284279223066	1
"93"	11	0.0264184543862939	0.709971224280884	1.38158241026104	0.603537534130737	11
"94"	1	0.876105425456419	0.326640948396503	4.3920525358757	3.48664928518701	1
"95"	2	0.51041300629539	1.05057179865942	4.86624110497069	5.18575328669976	2
"96"	8	0.0975095849484205	0.0286761537183307	1.11020631524734	1.90804308757652	8
"97"	1	0.749481777432275	1.53283440091343	6.45875536950771	4.74959589599166	1
"98"	2	0.025840553920716	0.685893819679279	2.08827545987442	2.26498830912169	2
"99"	4	0.0218500975519419	5.45807952521277	6.76879535492044	3.2094637514092	4
"100"	1	0.143653377179336	1.94463871230441	4.21051105950028	5.38413150433917	1
"101"	2	0.105763701246958	0.260898480697355	2.74479722555261	1.96123001130763	2
"102"	3	0.0756527716293931	8.39817021845495	2.18618045400362	5.62225044937804	3
"103"	3	0.349404963461642	0.828698186787752	0.293656845181249	1.61332671903074	3
"104"	2	0.0047734989784658	1.81647720326075	9.90998557570856	3.0198527170578	2
"105"	5	0.00782875326377974	8.83877058593887	9.50347637908999	3.76163086446468	5
